time_key,location_key,room_key,customer_key,roomRevenue,roomBookingCount,avgRating
202401,3,15,CUST04507,20000000,2,2.7
202401,3,13,CUST00826,10000000,1,4.87
202401,3,12,CUST00643,10000000,1,3.9
202401,3,10,CUST04383,30000000,3,3.24
202401,3,10,CUST02698,20000000,2,4.89
202401,9,14,CUST03351,20000000,2,4.76
202401,9,14,CUST02109,30000000,3,4.03
202401,9,11,CUST02205,30000000,3,2.82
202401,9,10,CUST03192,20000000,2,4.34
202401,9,10,CUST03145,20000000,2,4.3
202401,9,9,CUST00648,20000000,2,3.63
202401,9,8,CUST02969,40000000,4,3.2
202401,9,6,CUST02871,10000000,1,3.86
202401,9,5,CUST01567,20000000,2,3.48
202401,9,4,CUST04065,20000000,2,4.7
202401,8,10,CUST03798,10000000,1,3.47
202401,10,7,CUST01946,30000000,3,4.26
202401,10,7,CUST00796,20000000,2,3.61
202401,10,5,CUST04265,20000000,2,3.99
202401,10,4,CUST00509,10000000,1,4.14
202401,10,3,CUST01905,30000000,3,3.4
202401,10,2,CUST03084,20000000,2,4.98
202401,9,15,CUST03863,20000000,2,4.59
202401,9,15,CUST03725,30000000,3,3.55
202401,9,14,CUST04552,30000000,3,4.67
202401,9,14,CUST04422,20000000,2,3.79
202401,8,3,CUST01839,30000000,3,4.79
202401,8,1,CUST01241,50000000,5,4.48
202401,2,2,CUST00353,10000000,1,3.54
202401,1,12,CUST03908,10000000,1,3.96
202401,1,8,CUST03474,10000000,1,3.88
202401,4,1,CUST00223,30000000,3,3.65
202401,14,9,CUST00503,30000000,3,3.4
202401,14,7,CUST03168,40000000,4,4.44
202401,14,6,CUST04364,30000000,3,3.3
202401,14,6,CUST01714,20000000,2,4.72
202401,14,5,CUST00314,10000000,1,3.4
202401,14,5,CUST00074,40000000,4,3.63
202401,14,2,CUST03580,20000000,2,4.75
202401,13,13,CUST00773,20000000,2,4.8
202401,13,12,CUST03277,40000000,4,3.94
202401,13,9,CUST02847,10000000,1,4.06
202401,13,7,CUST00604,30000000,3,4.1
202401,13,6,CUST02154,10000000,1,3.38
202401,12,15,CUST03859,10000000,1,3.16
202401,12,13,CUST02276,20000000,2,3.99
202401,12,13,CUST01621,20000000,2,4.52
202401,12,10,CUST00651,20000000,2,4.05
202401,17,7,CUST02183,20000000,2,3.22
202401,16,15,CUST03775,30000000,3,4.93
202401,16,8,CUST00169,50000000,5,4.02
202401,16,7,CUST04448,10000000,1,3.98
202401,16,7,CUST00715,20000000,2,3.88
202401,16,6,CUST04312,20000000,2,4.75
202401,16,4,CUST04228,10000000,1,4.03
202401,16,1,CUST00362,20000000,2,2.82
202401,15,6,CUST02883,30000000,3,4.94
202401,15,6,CUST00885,40000000,4,4.64
202401,15,4,CUST01338,50000000,5,4.99
202401,15,3,CUST00557,30000000,3,3.54
202401,14,15,CUST03102,10000000,1,2.86
202401,14,14,CUST01030,30000000,3,4.08
202401,14,13,CUST04688,20000000,2,2.66
202401,14,10,CUST01482,20000000,2,4.03
202401,18,12,CUST01833,20000000,2,4.9
202401,18,9,CUST03278,20000000,2,3.7
202401,18,5,CUST04059,40000000,4,2.73
202401,18,5,CUST01444,10000000,1,4.59
202401,18,2,CUST04611,20000000,2,3.63
202401,18,2,CUST01601,50000000,5,4.08
202401,18,2,CUST00844,20000000,2,3.72
202401,18,1,CUST03770,10000000,1,2.54
202401,17,15,CUST01984,40000000,4,3.83
202401,17,14,CUST02314,10000000,1,3.1
202401,17,13,CUST00046,30000000,3,3.0
202401,17,11,CUST03691,20000000,2,4.64
202401,17,11,CUST02539,40000000,4,3.12
202401,17,11,CUST01347,30000000,3,4.92
202401,17,9,CUST03181,30000000,3,4.56
202401,17,9,CUST02158,30000000,3,3.63
202401,20,3,CUST03372,40000000,4,3.22
202401,20,3,CUST01952,20000000,2,3.11
202401,20,1,CUST04595,10000000,1,3.72
202401,19,14,CUST02079,40000000,4,4.39
202401,19,12,CUST01011,20000000,2,4.22
202401,19,9,CUST03937,20000000,2,3.91
202401,19,9,CUST03277,20000000,2,5.0
202401,19,8,CUST03291,30000000,3,3.71
202401,19,7,CUST02345,40000000,4,4.7
202401,19,5,CUST03019,30000000,3,4.18
202401,19,5,CUST00423,20000000,2,2.84
202401,19,4,CUST02039,10000000,1,4.64
202401,19,2,CUST02383,20000000,2,3.07
202401,19,2,CUST00874,30000000,3,2.71
202401,18,15,CUST00985,30000000,3,2.76
202401,18,15,CUST00592,20000000,2,3.59
202401,21,15,CUST04857,40000000,4,2.73
202401,21,14,CUST03356,10000000,1,4.79
202401,21,13,CUST01469,50000000,5,3.49
202401,21,12,CUST02474,20000000,2,4.68
202401,21,7,CUST02012,20000000,2,3.19
202401,21,6,CUST03465,20000000,2,4.52
202401,21,6,CUST02490,40000000,4,2.88
202401,21,6,CUST00541,30000000,3,4.77
202401,21,2,CUST01676,20000000,2,3.84
202401,21,1,CUST02253,20000000,2,4.29
202401,21,1,CUST00634,20000000,2,3.14
202401,20,13,CUST03899,40000000,4,4.78
202401,20,13,CUST03627,20000000,2,4.6
202401,20,10,CUST04858,20000000,2,3.08
202401,20,10,CUST01819,40000000,4,2.69
202401,20,5,CUST00910,20000000,2,3.23
202401,24,1,CUST03162,20000000,2,4.87
202401,23,12,CUST03963,30000000,3,4.21
202401,23,11,CUST02791,30000000,3,3.62
202401,23,11,CUST02068,30000000,3,2.55
202401,23,9,CUST01791,10000000,1,4.89
202401,23,8,CUST02156,50000000,5,3.34
202401,23,7,CUST02647,10000000,1,3.97
202401,23,7,CUST01626,30000000,3,3.62
202401,23,7,CUST01139,30000000,3,4.73
202401,23,6,CUST01922,10000000,1,4.27
202401,23,6,CUST00804,10000000,1,3.04
202401,23,2,CUST04282,30000000,3,4.02
202401,23,2,CUST02031,40000000,4,3.22
202401,23,1,CUST04641,20000000,2,3.02
202401,22,7,CUST02067,20000000,2,3.42
202401,22,3,CUST01863,20000000,2,3.53
202401,26,8,CUST04676,30000000,3,4.43
202401,26,6,CUST03143,30000000,3,3.05
202401,26,4,CUST03658,20000000,2,4.45
202401,25,13,CUST04335,30000000,3,4.0
202401,25,13,CUST03981,20000000,2,3.11
202401,25,13,CUST00648,20000000,2,2.61
202401,25,10,CUST03681,20000000,2,4.05
202401,25,8,CUST03966,30000000,3,3.7
